"Countries","GDP per capita"
"North Macedonia [+]","$7,412"
"Norway [+]","$106,328"
"Oman [+]","$25,330"
"Pakistan [+]","$1,692"
"Palau [+]","$12,759"
"Panama [+]","$17,586"
"Papua New Guinea [+]","$3,079"
"Paraguay [+]","$5,674"
"Peru [+]","$7,196"
"Philippines [+]","$3,623"
"Poland [+]","$18,280"
"Portugal [+]","$24,522"
"Qatar [+]","$90,640"
"Republic of the Congo [+]","$2,504"
"Romania [+]","$15,844"
"Russia [+]","$15,392"
"Rwanda [+]","$989"
"Saint Kitts and Nevis [+]","$20,198"
"Saint Lucia [+]","$11,495"
"Saint Vincent and the Grenadines [+]","$9,092"
"Samoa [+]","$4,160"
"San Marino [+]","$55,059"
"Sao Tome and Principe [+]","$2,450"
"Saudi Arabia [+]","$32,487"
"Senegal [+]","$1,640"
"Serbia [+]","$9,528"
"Seychelles [+]","$16,003"
"Sierra Leone [+]","$488"
"Singapore [+]","$82,808"
"Slovakia [+]","$20,890"
"Slovenia [+]","$29,369"
"Solomon Islands [+]","$2,254"
"Somalia [+]","$476"
"South Africa [+]","$6,694"
"South Korea [+]","$32,410"
"South Sudan [+]","$300"
"Spain [+]","$29,139"
"Sri Lanka [+]","$3,358"
"Sudan [+]","$1,132"
"Suriname [+]","$5,907"
"Sweden [+]","$55,689"
"Switzerland [+]","$92,371"
"Syria [+]","$537"
"Tajikistan [+]","$1,074"
"Tanzania [+]","$1,191"
"Thailand [+]","$7,081"
"The Gambia [+]","$861"
"Timor-Leste [+]","$2,395"
"Togo [+]","$940"
"Tonga [+]","$4,433"
"Trinidad and Tobago [+]","$18,287"
"Tunisia [+]","$3,805"
"Türkiye [+]","$10,618"
"Turkmenistan [+]","$10,150"
"Tuvalu [+]","$5,386"
"Uganda [+]","$1,073"
"Ukraine [+]","$3,915"
"United Arab Emirates [+]","$53,101"
"United Kingdom [+]","$45,775"
"United States [+]","$77,469"
"Uruguay [+]","$20,774"
"Uzbekistan [+]","$2,326"
"Vanuatu [+]","$3,082"
"Venezuela [+]","$3,421"
"Viet Nam [+]","$4,170"
"Yemen [+]","$645"
"Zambia [+]","$1,530"
"Zimbabwe [+]","$585,276"
